FARMA SALUD                   ;;;;Informe Emitido por:;;;;;;;
SOC.FARMA CRUCES SALDAÑO                ;;;;  6 NICOLAS              Supervisor;;;;;;;
FARMACIA Rut:76.383.674-6;;;;Fecha 06-09-2026 Hrs. 15:41:40;;;;;;;
COLON 222                          ;;;;;;;;;;;
442888351;;;;;;;;;;;
Maestro de productos ;;;;;;;;;;;
LAB;GRUPO;CODIGO;CODBARRA;DETALLE;COSTO;MARGEN;PRECIO;PCADENA;POFERTA;STOCK;DESCUENTO
ABBOTT;ANTIDIARREICOS;29006;7501033956713;PEDIALYTE.45.MANZ X500 ML;4051;24.26;5990;0;0;0;Si
ABBOTT;ANTIDIARREICOS;29008;7501033956782;PEDIALYTE.60.SOL;3250;26.44;4890;0;0;0;Si
ABBOTT;;29411;8886451011022;PEDIASURE 10+ PVO.  VAINILLA;17290;18.44;25990;0;0;1;Si
ABBOTT;OTROS ALIMENTOS;29004;8886451011718;PEDIASURE CHOCOLATE 900 GR;17313;17;23990;0;0;3;Si
ABBOTT;OTROS ALIMENTOS;29002;8886451027627;PEDIASURE FRUTILLA 900 GR;17156;17.57;23990;0;0;2;Si
ABBOTT;OTROS ALIMENTOS;29331;8886451018083;PEDIASURE VAINILLA  900G;17057;18.19;23990;0;0;2;Si
ABBOTT;ANTIEMETICO;29305;7800026124598;PLURIAMIN COM.30;6291;70.09;15990;0;0;0;Si
ABBOTT;;29326;7800026006665;PRIXIS 120 MG X7 COMP;5802;38.92;9590;0;0;0;Si
ABBOTT;HORMONOTERAPIA;29020;7800026013472;PROGENDO CAP.200MG.30;15705;23.01;22990;0;0;0;Si
ABBOTT;;29317;7800026006672;PROSTALL COM. 0.4 MG.60;11862;38.78;19590;0;0;0;Si
ABBOTT;;29414;7800026007389;SAMEXID 20MG X 30 CAPSULAS;44418;15.39;60990;0;0;0;Si
ABBOTT;LECHES NIÑOS;29334;5099864016567;SIMILAC 1 HMO.PVO.800GR;18317;14.93;24490;0;0;1;Si
ABBOTT;;29324;5099864007190;SIMILAC 2  X 900 GR;16351;10.02;20990;0;0;3;Si
ABBOTT;;29378;5099864016628;SIMILAC 3 5HMOS PVO. 800GR.;14695;20.03;20990;0;0;2;Si
ABBOTT;;29408;29408;SIMILAC MAMA 400GR;6834;26.38;10290;12390;0;0;Si
ABBOTT;;29397;7800009910705;SIMILAC OTAL COMFORT 1&2 PVO X 1400 GR;30735;17.54;42990;50290;0;0;Si
ABBOTT;LECHES NIÑOS;29358;264126;SIMILAC TOT.COMFORT 820GR;22264;13.1;29990;0;0;6;Si
ABBOTT;;29377;7501033957864;SIMILAC TOT.COMFORT3.820 GR;17486;27.79;26590;31190;0;1;Si
ABBOTT;ANTIESPASMODICOS;29303;7800026248737;SPASMODOX.COM.REC.40MG.30;14469;27.71;21990;0;0;0;Si
ABBOTT;RELAJANTE MUSCULAR;29361;7800026013090;TENSODOX COM. 5MG.20;4256;38.02;6990;0;0;0;Si
ABBOTT;;29373;7800026009970;TERMO NIOFEN SUSP 120 ML;5382;35.68;8690;18090;0;0;Si
ABBOTT;;29301;7800026009987;TINOX 2.5MG.COM.30;17250;15.89;23790;0;0;2;Si
ABBOTT;;29338;7800026565483;TRANEXTON 650  MG X 30 COMP;28300;29.14;43490;55990;0;0;Si
ABBOTT;;29406;7896255767903;VALCOTE ER 500 MG X 50 COMPRIMIDOS;46620;18.05;65490;81240;0;0;Si
ABBOTT;;29402;7800026772447;WINASORB JB.150MG/5ML.60ML;2715;48.26;4790;7490;0;0;Si
ABBOTT 1;VITAMINA A+D;4020;7800026012000;ACEVIT GTS.30ML.;4956;94.82;11490;0;0;1;Si
ABBOTT 1;ANTICONCEPTIVOS;4005;7800026547861;ACOTOL.COMP.X28COMP;11514;16.7;15990;0;0;14;Si
ABBOTT 1;;4843;7503032208299;ALULA GOLD SIN LACTOSA 400GR;11220;42.23;18990;0;0;0;Si
ABBOTT 1;;4851;7800026001080;ANFIBOL 5MG X 30 COMP.;11010;29.68;16990;21990;0;0;Si
ABBOTT 1;ANTICONCEPTIVOS;4640;7800026015162;ARLETTE COM.75MCG.28;10511;23.83;14990;0;0;8;Si
ABBOTT 1;;4845;7330934081008;BIOGAIA COM. MAS.10;9998;17.59;13990;16590;0;0;Si
ABBOTT 1;;4847;4847;BIOGAIA D X 1O ML;18360;37.26;29990;0;0;0;Si
ABBOTT 1;ANTITUSIVOS;4004;7800026003268;BRONCOT GFT FTE.JBE.120ML;2522;99.59;5990;0;0;0;Si
ABBOTT 1;ANTITUSIVOS;4081;7800026020104;BRONCOT GTS.7.5MG/ML. 30;4511;24.47;6590;0;0;0;Si
ABBOTT 1;ANTICONCEPTIVOS;4425;7800026211021;CICLIDON GRA.21;15160;10.81;19990;0;0;1;Si
ABBOTT 1;ANTICONCEPTIVOS;4424;7800026017616;CICLIDON-20 GRA.21;15160;10.81;19990;0;0;1;Si
ABBOTT 1;ANTICONCEPTIVOS;4183;7800026001639;CICLOMEX COM.21;12170;27.51;18590;0;0;1;Si
ABBOTT 1;ANTICONCEPTIVOS;4611;7800026211014;CICLOMEX-15 COM.28;14315;5.61;17990;0;0;2;Si
ABBOTT 1;ANTICONCEPTIVOS;4394;7800026001622;CICLOMEX-20 GRA.21;12070;18.29;16990;0;0;2;Si
ABBOTT 1;ANTIGRIPALES;4160;7800026016107;CONGESTEX CAP. 10;4295;22.85;5890;0;0;0;Si
ABBOTT 1;ANTIGRIPALES;4067;7800026016053;CONGESTEX JBE.120ML.;5570;34.19;9600;0;0;0;Si
ABBOTT 1;;4850;4850;CREON 25.000 300MG X 50 CAP.;50932;22.08;73990;0;0;0;Si
ABBOTT 1;ANTICONCEPTIVOS;4541;7800026030103;DAL COM.28;17320;23.26;24690;0;0;3;Si
ABBOTT 1;ANTICONCEPTIVOS;4443;7800026009222;DIXI-35 GRA.21;17810;17.91;24990;0;0;3;Si
ABBOTT 1;RELAJANTE MUSCULAR;4208;7800026016459;DOLNIX COM.10;6764;36.54;10990;0;0;0;Si
ABBOTT 1;ANTIACNE (piel y Mucosa);4214;7800026025154;EMOLAN JAB.100GR.;3690;86.74;8200;0;0;0;Si
ABBOTT 1;BEBIDAS;4013;7800004003457;ENERDAY 6 H.60ML EX/FTE;963;56.2;1790;0;0;11;Si
ABBOTT 1;;4836;7800004003440;ENERDAY 6 HORAS FUERTE BERRIES X 60 ML;973;54.59;1790;0;0;13;Si
ABBOTT 1;;4834;7800004003464;ENERDAY FORTE LIMA LIMON X 60 ML;971;54.91;1790;0;0;7;Si
ABBOTT 1;;4835;7800004003471;ENERDAY POTENCIA TU MENTE X 60 ML;1001;50.27;1790;0;0;6;Si
ABBOTT 1;;4848;8427030009032;ENSURE ADVANCE CAFE 850G;19714;12.03;25990;0;0;3;Si
ABBOTT 1;ANTICONCEPTIVOS;4673;7800026050019;FEMELLE  COM28;15315;20.66;21990;0;0;1;Si
ABBOTT 1;ANTITUSIVOS;4583;7800026025499;FLEMEX JAT FTE.JBE.120ML;9311;26.26;13990;0;0;0;Si
ABBOTT 1;ANTITUSIVOS;4092;7800026025505;FLEMEX JAT JBE.120ML.;8188;29.21;12590;0;0;0;Si
ABBOTT 1;HORMONOTERAPIA;4025;7800026007129;GINODERM 0.5MG GEL95ML;12700;30.95;19790;0;0;0;Si
ABBOTT 1;;4842;7800026010860;KOPODEX 100MG.120ML;14000;19.99;19990;26290;0;0;Si
ABBOTT 1;;4830;8435214412455;LEVOGASTROL 250 MG X 30;14290;24.61;21190;32090;0;1;Si
ABBOTT 1;ANTIGRIPALES;4626;7800026069196;NIOFEN FLU FTE.SUS.120ML;3640;93.69;8390;0;0;0;Si
ABBOTT 1;ANTIGRIPALES;4625;7800026069189;NIOFEN FLU SUS.120ML;4528;26.01;6790;0;0;0;Si
ABBOTT 1;ANALG GENERAL;4397;7800026020647;NIOFEN FTE.SUS.200MG.120;2622;59.93;4990;0;0;0;Si
ABBOTT 1;ANTIALERGICOS;4061;7800026009802;PLEXUS COM. 30;6252;34.28;9990;0;0;0;Si
ABBOTT 1;ANTIALERGICOS;4059;7800026009758;PLEXUS JBE.120ML;6790;23.64;9990;0;0;0;Si
ABBOTT 1;HORMONOTERAPIA;4398;7800026017319;PRIMAQUIN COM.1MG.30;8090;19.35;11490;0;0;0;Si
ABBOTT 1;HORMONOTERAPIA;4001;7800026017388;PRIMAQUIN.COMP.2MG.X30;10600;18.84;14990;0;0;2;Si
ABBOTT 1;HORMONOTERAPIA;4546;7800026029688;PROGENDO CAP.100MG.30;11340;22.64;16550;0;0;0;Si
ABBOTT 1;;4826;7800026004692;REAX 10 MG X30 COMP;5992;26.08;8990;0;0;0;Si
ABBOTT 1;;4838;7800026002421;RIBOLAC 200 MG X 10 COMP;7650;26.22;11490;0;0;0;Si
ABBOTT 1;ANTIALERGICOS;4023;7800026248744;RINITEK SUS.NAS.50MCG.200;9753;17.96;13690;0;0;0;Si
ABBOTT 1;;4849;7800026993354;SAMEXID CAP 50MG X 30;55512;5.95;69990;0;0;1;Si
ABBOTT 1;RELAJANTE MUSCULAR;4550;7800026009994;TENSODOX COM.10MG.10;5310;18.53;7490;0;0;0;Si
ABBOTT 1;RELAJANTE MUSCULAR;4202;7800026010006;TENSODOX COM.10MG.20;2690;99.17;8990;0;0;0;Si
ABBOTT 1;;4827;7800026265475;TENSODOX XR COM.10 MG.20;5998;25.95;8990;0;0;1;Si
ABBOTT 1;;4846;7501033959301;TRILIPIX X 30 CAPSULAS;13989;20.08;19990;31290;0;0;Si
ABBOTT 1;;4844;7800026457894;VADIRAL 1G 21 COMP. REC.;42537;12.59;56990;0;0;0;Si
ABBOTT 1;;4852;7800026026632;VALPAX 2.0 MG X 30 COMP.;7760;35.26;12490;17390;0;2;Si
ABBOTT 1;ANTIESPASMODICOS;4565;7800026020920;VALPIN GTS.25ML;7750;30.01;11990;0;0;0;Si
ABBOTT 1;LUBRICANTES INTIMOS VAGINAL;4028;7800004004539;YES ICE LUBRIC.55ML;2855;40.99;4790;0;0;3;Si
ACCESORIOS (TRIM Y GALA);;177422;7805357002003;ACEITE DE RICINO EXTERNO 20 ML;649;55.38;1200;0;0;5;Si
ACCESORIOS (TRIM Y GALA);;177460;6666667934085;ALMAZ SET LIMA CON DISEÑOS;1084;46.52;1890;0;0;0;Si
ACCESORIOS (TRIM Y GALA);;177421;4210201656104;BRAUN SILK EPIL1 DEPILADORA;28278;26.15;42450;0;0;0;Si
ACCESORIOS (TRIM Y GALA);;177413;7801000247869;DIECO -GEL 250 CC DIFEM;1580;112.21;3990;0;0;1;Si
ACCESORIOS (TRIM Y GALA);;177393;7809634802324;GALA CEPILLO DE UÑAS;1016;39.78;1690;0;0;3;Si
ACCESORIOS (TRIM Y GALA);;177399;7809634802300;GALA CORTAUÑAS MANOS PEQUEÑO;779;39.16;1290;0;0;1;Si
ACCESORIOS (TRIM Y GALA);;177400;7809634802294;GALA CORTAUÑAS PIES GRANDE;1110;27.94;1690;0;0;0;Si
ACCESORIOS (TRIM Y GALA);;177395;7809634802379;GALA COSMETIQUERO ESTUCHE SIMPLE;1031;34.49;1650;0;0;0;Si
ACCESORIOS (TRIM Y GALA);;177390;7809634802256;GALA ENCRESPADOR DE PESTAÑAS METALICO;2133;35.92;3450;0;0;0;Si
ACCESORIOS (TRIM Y GALA);;177389;7809634802232;GALA ENCRESPADOR DE PESTAÑAS MINI CARTERA;1100;29.11;1690;0;0;0;Si
